City;Unemployment rate
Moussy-le-Neuf (77322);7,9
Moussy-le-Vieux (77323);8,6
Mouy-sur-Seine (77325);11,9
Nandy (77326);12,8
Nangis (77327);15,2
Nanteau-sur-Essonne (77328);10,0
Nanteau-sur-Lunain (77329);4,3
Nanteuil-lès-Meaux (77330);7,7
Nanteuil-sur-Marne (77331);14,0
Nantouillet (77332);5,1
Nemours (77333);18,3
Chauconin-Neufmontiers (77335);6,4
Neufmoutiers-en-Brie (77336);5,0
Noisiel (77337);15,3
Noisy-Rudignon (77338);8,6
Noisy-sur-École (77339);8,1
Nonville (77340);6,1
Noyen-sur-Seine (77341);15,3
Obsonville (77342);7,3
Ocquerre (77343);11,1
Oissery (77344);8,5
Orly-sur-Morin (77345);10,4
Ormes-sur-Voulzie (77347);8,5
Ormesson (77348);13,4
Othis (77349);10,0
Ozoir-la-Ferrière (77350);10,2
Ozouer-le-Voulgis (77352);7,4
Paley (77353);9,5
Pamfou (77354);4,1
Paroy (77355);10,0
Passy-sur-Seine (77356);10,3
Pécy (77357);7,7
Penchard (77358);8,9
Perthes (77359);8,0
Pézarches (77360);4,9
Pierre-Levée (77361);6,8
Pin (77363);6,7
Plessis-aux-Bois (77364);7,5
Plessis-Feu-Aussoux (77365);6,5
Plessis-l'Évêque (77366);6,8
Plessis-Placy (77367);12,7
Poigny (77368);9,5
Poincy (77369);9,0
Poligny (77370);11,6
Pommeuse (77371);9,9
Pomponne (77372);10,3
Pontault-Combault (77373);10,8
Pontcarré (77374);6,3
Précy-sur-Marne (77376);8,6
Presles-en-Brie (77377);8,0
Pringy (77378);8,6
Provins (77379);21,2
Puisieux (77380);13,7
Quiers (77381);7,8
Quincy-Voisins (77382);6,9
Rampillon (77383);8,0
Réau (77384);9,2
Rebais (77385);14,6
Recloses (77386);6,3
Remauville (77387);10,4
Reuil-en-Brie (77388);10,0
Rochette (77389);11,4
Roissy-en-Brie (77390);11,5
Rouilly (77391);10,3
Rouvres (77392);5,4
Rozay-en-Brie (77393);9,1
Rubelles (77394);12,0
Rumont (77395);6,2
Rupéreux (77396);9,4
Saâcy-sur-Marne (77397);13,1
Sablonnières (77398);9,9
Saint-Ange-le-Viel (77399);4,3
Saint-Augustin (77400);7,7
Sainte-Aulde (77401);8,3
Saint-Barthélemy (77402);7,1
Saint-Brice (77403);11,6
Sainte-Colombe (77404);12,5
Saint-Cyr-sur-Morin (77405);11,5
Saint-Denis-lès-Rebais (77406);9,2
Saint-Fargeau-Ponthierry (77407);9,7
Saint-Fiacre (77408);5,9
Saint-Germain-Laval (77409);13,5
Saint-Germain-Laxis (77410);9,1
Saint-Germain-sous-Doue (77411);4,0
Saint-Germain-sur-École (77412);8,3
Saint-Germain-sur-Morin (77413);5,9
Saint-Hilliers (77414);9,2
Saint-Jean-les-Deux-Jumeaux (77415);10,4
Saint-Just-en-Brie (77416);8,6
Saint-Léger (77417);10,6
Saint-Loup-de-Naud (77418);10,2
Saint-Mammès (77419);9,1
Saint-Mard (77420);9,2
Saint-Mars-Vieux-Maisons (77421);7,6
Saint-Martin-des-Champs (77423);11,1
Saint-Martin-du-Boschet (77424);8,2
Saint-Martin-en-Bière (77425);11,1
Saint-Méry (77426);7,7
Saint-Mesmes (77427);8,7
Saint-Ouen-en-Brie (77428);5,5
Saint-Ouen-sur-Morin (77429);8,1
Saint-Pathus (77430);9,0
Saint-Pierre-lès-Nemours (77431);12,6
Saint-Rémy-la-Vanne (77432);10,8
Saints (77433);7,7
Saint-Sauveur-lès-Bray (77434);3,4
Saint-Sauveur-sur-École (77435);6,6
Saint-Siméon (77436);7,9
Saint-Soupplets (77437);10,4
Saint-Thibault-des-Vignes (77438);10,9
Salins (77439);9,0
Sammeron (77440);9,4
Samois-sur-Seine (77441);9,2
Samoreau (77442);8,1
Sancy (77443);6,5
Sancy-lès-Provins (77444);12,9
Savigny-le-Temple (77445);14,3
Savins (77446);9,3
Seine-Port (77447);7,2
Sept-Sorts (77448);15,6
Serris (77449);10,9
Servon (77450);7,6
Signy-Signets (77451);7,6
Sigy (77452);10,7
Sivry-Courtry (77453);7,2
Sognolles-en-Montois (77454);7,3
Soignolles-en-Brie (77455);9,7
Soisy-Bouy (77456);10,2
Solers (77457);7,2
Souppes-sur-Loing (77458);20,5
Sourdun (77459);9,8
Tancrou (77460);7,4
Thénisy (77461);7,3
Thieux (77462);7,8
Thomery (77463);7,6
Thorigny-sur-Marne (77464);10,2
Thoury-Férottes (77465);8,7
Tigeaux (77466);6,6
Tombe (77467);16,2
Torcy (77468);14,0
Touquin (77469);10,1
Tournan-en-Brie (77470);12,0
Tousson (77471);12,0
Trétoire (77472);9,8
Treuzy-Levelay (77473);6,2
Trilbardou (77474);6,7
Trilport (77475);9,8
Trocy-en-Multien (77476);7,9
Ury (77477);10,3
Ussy-sur-Marne (77478);12,8
Vaires-sur-Marne (77479);11,4
Valence-en-Brie (77480);8,2
Vanvillé (77481);12,8
Varennes-sur-Seine (77482);16,9
Varreddes (77483);10,2
Vaucourtois (77484);5,1
Vaudoué (77485);8,5
Vaudoy-en-Brie (77486);11,6
Vaux-le-Pénil (77487);8,1
Vaux-sur-Lunain (77489);15,9
Vendrest (77490);10,9
Veneux-les-Sablons (77491);9,4
Verdelot (77492);12,6
Verneuil-l'Étang (77493);9,4
Vernou-la-Celle-sur-Seine (77494);8,3
Vert-Saint-Denis (77495);8,7
Vieux-Champagne (77496);7,4
Vignely (77498);5,0
Villebéon (77500);9,3
Villecerf (77501);8,6
Villemaréchal (77504);6,3
Villemareuil (77505);9,8
Villemer (77506);8,7
Villenauxe-la-Petite (77507);11,2
Villeneuve-le-Comte (77508);9,3
Villeneuve-les-Bordes (77509);10,9
Villeneuve-Saint-Denis (77510);5,4
Villeneuve-sous-Dammartin (77511);9,2
Villeneuve-sur-Bellot (77512);12,6
Villenoy (77513);8,4
Villeparisis (77514);11,6
Villeroy (77515);8,5
Ville-Saint-Jacques (77516);7,6
Villevaudé (77517);8,0
Villiers-en-Bière (77518);5,9
Villiers-Saint-Georges (77519);14,2
Villiers-sous-Grez (77520);4,3
Villiers-sur-Morin (77521);8,7
Villiers-sur-Seine (77522);13,4
Villuis (77523);7,3
Vimpelles (77524);12,1
Vinantes (77525);11,6
Vincy-Manœuvre (77526);5,1
Voinsles (77527);10,2
Voisenon (77528);5,0
Voulangis (77529);8,4
Voulton (77530);11,2
Voulx (77531);11,4
Vulaines-lès-Provins (77532);2,3
Vulaines-sur-Seine (77533);8,9
Yèbles (77534);6,2
